# Simple database for CleanHome by Henning Mersch <mail@henning-mersch.de>
# Version: v0.8
# Homepage: http://cleanhome.sourceforge.net 
# Format: 
# File|AppName|AppDescription|AppHomepage|Contributor
# Please send new entries via email to cleanhome@hmersch.de - any contribution is welcome!
.wine|Wine|Windows Emulator||Henning Mersch.wireshark
.xboing-scores|XBoing|blockout type game where you have a paddle which you control to bounce a ball around the game zone|http://www.techrescue.org/xboing/|Henning Mersch
.xcompmgrrc|XComp Manager|X Composition-Manager||Henning Mersch
.xdvirc|XDvi|Dvi Viewer||Henning Mersch
.xfigrc|XFig|XFig - grafic program||Henning Mersch
.xmess|XMess|Emulator Frontend||Henning Mersch
.xmms|XMMS|Multimedia player ||Henning Mersch
.xsession|X11|Started on login||Henning Mersch
.xsession-errors|X11|Errors during login session||Henning Mersch
.any2dvdrc|Any2DVD|A script to transform PC multimedia file(s) in any format, into a DVD complete with menus & suitable for playback on a standalone DVD player.|http://sf.net/projects/any2dvd/|Daniel Lynes
.aptitude|Aptitude|High level interface to the Debian package manager|http://www.debian.org/doc/manuals/apt-howto/|Daniel Lynes
.cpan|Perl|Comprehensive Perl Archive Network|http://www.cpan.org/|Daniel Lynes
.dvdstyler|DVD Styler|cross-platform DVD authoring application that makes possible for video enthusiasts to create professional-looking DVDs|http://www.dvdstyler.de/|Daniel Lynes
.elinks|ELinks|an advanced and well-established feature-rich text mode web (HTTP/FTP/..) browser|http://elinks.cz/|Daniel Lynes
.gimp-2.2|Gimp 2.2|GIMP is the GNU Image Manipulation Program. It is a freely distributed piece of software for such tasks as photo retouching, image composition and image authoring. It works on many operating systems, in many languages.|http://www.gimp.org/|Daniel Lynes
.gnome2_private|GNOME|The Free Software Desktop Project|http://www.gnome.org/|Daniel Lynes
.nessusrc|Nessus|the Network Vulnerability Scanner|http://www.nessus.org/nessus/|Daniel Lynes
.nessusrc.cert|Nessus|the Network Vulnerability Scanner - certs|http://www.nessus.org/nessus/|Daniel Lynes
.pixel|Pixel|RGB, CMYK and HDR image editing and photo retouching for Windows, Mac OSX, Linux and others|http://www.kanzelsberger.com/pixel/|Daniel Lynes
.recently-used|OpenOffice.org|Recently opened document list for OpenOffice|http://www.openoffice.org/|Daniel Lynes
.scim|SCIM|The Smart Common Input Method platform (SCIM), is an input method platform supporting more than thirty languages (CJK and many European languages) for POSIX-style operating systems including Linux and BSD|http://sf.net/projects/scim|Daniel Lynes
.feed2imap.cache|Feed2Imap|feed aggregator (RSS/Atom) which puts items on a IMAP mail server|http://home.gna.org/feed2imap/|Henning Mersch
.feed2imap.cache.lock|Feed2Imap|feed aggregator (RSS/Atom) which puts items on a IMAP mail server|http://home.gna.org/feed2imap/|Henning Mersch
.feed2imaprc|Feed2Imap|feed aggregator (RSS/Atom) which puts items on a IMAP mail server|http://home.gna.org/feed2imap/|Henning Mersch
.avidemux|Avidemux|Video Editing/Encoder|http://avidemux.org/|Sam Azab
.devede|DeVeDe|DVD Author|http://www.rastersoft.com/programas/devede.html|Sam Azab
.electricsheep|Electricsheep|Screensaver|http://www.electricsheep.org/|Sam Azab
.conky|conky|Conky is a free, light-weight system monitor for X, that displays any information on your desktop. Conky is licensed under the GPL and runs on Linux and BSD.|http://conky.sourceforge.net/|Michael Powers
.alunn.news|alunn|System tray notification applet for Arch Linux updates and news|http://nedrebo.org/code/alunn|jose1711 (Jozef Riha)
.aldorc|aldo|Aldo is a GPL morse code learning tool|http://www.nongnu.org/aldo|dpflug
.amsn|aMSN|A free clone of MSN Messenger|http://www.amsn-project.net|dpflug
.audacity-data|Audacity|A GPL sound recorder and editor|http://audacity.sourceforge.net|dpflug
